sample_id,model,generation,batch,problem_key,problem_key_source,shard,compile_attempted,compiled,has_tests,no_tests,reason,passed,total_tests,pass_rate,timeout,tags,cppcheck_total,cppcheck_warnings,cppcheck_cwe_count,cppcheck_has_cwe,cppcheck_errors,cppcheck_style,cppcheck_perf,clang_total,clang_warnings,clang_errors,clang_bugprone,clang_performance,clang_analyzer,esbmc_verdict,esbmc_n_violations,esbmc_cwes,esbmc_parse_error,esbmc_timeout
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,00000,331_E2_Deja_Vu,json,0,1,1,1,0,tested,15,15,1.0,0,constructive algorithms|dp,4,0,1,1,0,4,0,30,30,0,15,1,1,PARSE_ERROR,0,,True,False
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,00000,39_H_Multiplication_Table,json,0,1,1,1,0,tested,1,7,0.1428571428571428,0,implementation,0,0,0,0,0,0,0,3,3,0,0,1,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,00000,937_D_Sleepy_Game,json,0,1,1,1,0,tested,31,32,0.96875,0,dfs and similar|dp|games|graphs,0,0,0,0,0,0,0,6,6,0,1,0,1,PARSE_ERROR,0,,True,False
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,00000,1208_A_XORinacci,json,0,1,1,1,0,tested,5,5,1.0,0,math,0,0,0,0,0,0,0,5,5,0,2,1,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,00000,551_B_ZgukistringZ,json,0,1,1,1,0,tested,40,40,1.0,0,brute force|constructive algorithms|implementation|strings,5,0,1,1,0,4,1,3,3,0,0,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0267_1304_E._1-Trees_and_Queries.cpp,human,soln1,00000,1304_E_1-Trees_and_Queries,json,0,1,1,1,0,tested,2,2,1.0,0,data structures|dfs and similar|shortest paths|trees,0,0,0,0,0,0,0,10,10,0,2,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0143_p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero.cpp,human,soln1,00000,p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,8,8,0,2,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0059_p02879_AtCoder_Beginner_Contest_144_-_9x9.cpp,human,soln1,00000,p02879_AtCoder_Beginner_Contest_144_-_9x9,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,FAILED,1,CWE-190,False,False
human/soln1/00000/0132_784_B._Kids__Riddle.cpp,human,soln1,00000,784_B_Kids__Riddle,json,0,1,1,0,1,no_test_mapping,0,0,,0,,0,0,0,0,0,0,0,2,2,0,0,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0049_820_D._Mister_B_and_PR_Shifts.cpp,human,soln1,00000,820_D_Mister_B_and_PR_Shifts,json,0,1,1,1,0,tested,44,44,1.0,0,data structures|implementation|math,2,0,1,1,0,2,0,8,8,0,2,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0087_1088_D._Ehab_and_another_another_xor_problem.cpp,human,soln1,00000,1088_D_Ehab_and_another_another_xor_problem,json,0,1,1,1,0,tested,67,70,0.9571428571428572,0,bitmasks|constructive algorithms|implementation|interactive,0,0,0,0,0,0,0,18,18,0,5,4,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0105_1547_C._Pair_Programming.cpp,human,soln1,00000,1547_C_Pair_Programming,json,0,1,1,1,0,tested,0,1,0.0,0,greedy|two pointers,5,0,1,1,0,5,0,5,5,0,3,0,0,TIMEOUT,0,,False,True
human/soln1/00000/0080_p01974_Pigeonhole_principle.cpp,human,soln1,00000,p01974_Pigeonhole_principle,json,0,1,1,0,1,no_public_tests,0,0,,0,,3,0,1,1,0,0,3,13,13,0,0,2,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0154_p00365_Age_Difference.cpp,human,soln1,00000,p00365_Age_Difference,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,37,37,0,24,1,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0104_151_C._Win_or_Freeze.cpp,human,soln1,00000,151_C_Win_or_Freeze,json,0,1,1,1,0,tested,39,50,0.78,0,games|math|number theory,0,0,0,0,0,0,0,11,10,1,4,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0078_p01694_Step_Aerobics.cpp,human,soln1,00000,p01694_Step_Aerobics,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,3,3,0,0,1,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0239_p00490_Best_Pizza.cpp,human,soln1,00000,p00490_Best_Pizza,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,4,4,0,0,1,0,SUCCESS,0,,False,False
human/soln1/00000/0037_545_C._Woodcutters.cpp,human,soln1,00000,545_C_Woodcutters,json,0,1,1,1,0,tested,10,10,1.0,0,dp|greedy,2,0,1,1,0,2,0,5,5,0,0,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0040_615_A._Bulbs.cpp,human,soln1,00000,615_A_Bulbs,json,0,1,1,1,0,tested,21,21,1.0,0,implementation,2,0,1,1,0,2,0,3,3,0,0,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0044_70_C._Lucky_Tickets.cpp,human,soln1,00000,70_C_Lucky_Tickets,json,0,1,1,1,0,tested,42,47,0.8936170212765957,0,binary search|data structures|sortings|two pointers,0,0,0,0,0,0,0,9,9,0,2,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_.cpp,human,soln1,00000,1184_B3_The_Doctor_Meets_Vader__Hard_,json,0,1,1,0,1,no_test_mapping,0,0,,0,,5,0,2,1,0,5,0,24,24,0,3,0,5,PARSE_ERROR,0,,True,False
human/soln1/00000/0064_p03616_AtCoder_Regular_Contest_082_-_Sandglass.cpp,human,soln1,00000,p03616_AtCoder_Regular_Contest_082_-_Sandglass,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,11,11,0,1,2,1,PARSE_ERROR,0,,True,False
human/soln1/00000/0230_p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String.cpp,human,soln1,00000,p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,3,3,0,0,2,0,SUCCESS,0,,False,False
human/soln1/00000/0063_p03455_AtCoder_Beginner_Contest_086_-_Product.cpp,human,soln1,00000,p03455_AtCoder_Beginner_Contest_086_-_Product,json,0,1,1,0,1,no_public_tests,0,0,,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0116_405_E._Graph_Cutting.cpp,human,soln1,00000,405_E_Graph_Cutting,json,0,1,0,0,0,compile_error,0,0,,0,dfs and similar|graphs,0,0,0,0,0,0,0,11,5,6,0,0,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0089_1136_D._Nastya_Is_Buying_Lunch.cpp,human,soln1,00000,1136_D_Nastya_Is_Buying_Lunch,json,0,1,1,1,0,tested,9,9,1.0,0,greedy,0,0,0,0,0,0,0,4,4,0,0,1,0,PARSE_ERROR,0,,True,False
human/soln1/00000/0263_1219_H._Function_Composition.cpp,human,soln1,00000,1219_H_Function_Composition,json,0,1,1,0,1,no_public_tests,0,0,,0,dfs and similar,1,0,1,1,0,1,0,18,18,0,3,0,2,PARSE_ERROR,0,,True,False
