sample_id,model,generation,esbmc_verdict,esbmc_cwes,sanitizer_triggered,sanitizer_cwes,cppcheck_cwes,esbmc_only,sanitizer_only,cppcheck_only,confirmed_by_2plus,n_tools_with_findings
gemma/gen_1/00000/0006_1149_E._Election_Promises.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-571,,,CWE-571,,1
gemma/gen_1/00000/0007_1189_D1._Add_on_a_Tree.cpp,gemma,gen_1,FAILED,,False,,CWE-398,,,CWE-398,,2
gemma/gen_1/00000/0008_1208_D._Restore_Permutation.cpp,gemma,gen_1,SUCCESS,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0009_1227_D1._Optimal_Subsequences__Easy_Version_.cpp,gemma,gen_1,PARSE_ERROR,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0010_1269_E._K_Integers.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0011_1291_E._Prefix_Enlightenment.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0013_1334_D._Minimum_Euler_Cycle.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0015_1398_A._Bad_Triangle.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0016_1421_B._Putting_Bricks_in_the_Wall.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-563,,,CWE-563,,1
gemma/gen_1/00000/0017_143_A._Help_Vasilisa_the_Wise_2.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-563,,,CWE-563,,1
gemma/gen_1/00000/0020_1513_C._Add_One.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0021_1540_C1._Converging_Array__Easy_Version_.cpp,gemma,gen_1,PARSE_ERROR,,False,,CWE-398|CWE-457,,,CWE-398|CWE-457,,1
gemma/gen_1/00000/0025_260_B._Ancient_Prophesy.cpp,gemma,gen_1,PARSE_ERROR,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0026_284_B._Cows_and_Poker_Game.cpp,gemma,gen_1,FAILED,,False,,,,,,,1
gemma/gen_1/00000/0027_309_B._Context_Advertising.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398|CWE-563,,,CWE-398|CWE-563,,1
gemma/gen_1/00000/0028_331_E2._Deja_Vu.cpp,gemma,gen_1,PARSE_ERROR,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0029_354_E._Lucky_Number_Representation.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0033_44_B._Cola.cpp,gemma,gen_1,TIMEOUT,,True,CWE-190,,,CWE-190,,,1
gemma/gen_1/00000/0034_494_D._Birthday.cpp,gemma,gen_1,PARSE_ERROR,,False,,CWE-398|CWE-563,,,CWE-398|CWE-563,,1
gemma/gen_1/00000/0035_519_B._A_and_B_and_Compilation_Errors.cpp,gemma,gen_1,SUCCESS,,False,,CWE-398,,,CWE-398,,1
gemma/gen_1/00000/0036_545_C._Woodcutters.cpp,gemma,gen_1,TIMEOUT,,True,CWE-190,,,CWE-190,,,1
gemma/gen_1/00000/0037_571_E._Geometric_Progressions.cpp,gemma,gen_1,TIMEOUT,,False,,CWE-570,,,CWE-570,,1
