sample_id,model,generation,batch,problem_key,shard,tags,compile_attempted,compiled,has_tests,pass_rate,passed,total_tests,timeout,cppcheck_analyzed,cppcheck_parsed_ok,cppcheck_total_errors,cppcheck_has_cwe,cppcheck_num_cwe_types,cppcheck_cwe_list,cppcheck_error_count,cppcheck_warning_count,cppcheck_style_count,cppcheck_performance_count,cppcheck_portability_count
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,00000,331_E2_Deja_Vu,0,constructive algorithms|dp,1,1,1,1.0,15,15,0,1,1,4,1,1,398,0,0,4,0,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,00000,39_H_Multiplication_Table,0,implementation,1,1,1,0.14285714285714285,1,7,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,00000,937_D_Sleepy_Game,0,dfs and similar|dp|games|graphs,1,1,1,0.96875,31,32,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,00000,1208_A_XORinacci,0,math,1,1,1,1.0,5,5,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,00000,551_B_ZgukistringZ,0,brute force|constructive algorithms|implementation|strings,1,1,1,1.0,40,40,0,1,1,5,1,1,398,0,0,4,1,0
human/soln1/00000/0267_1304_E._1-Trees_and_Queries.cpp,human,soln1,00000,1304_E_1-Trees_and_Queries,0,data structures|dfs and similar|shortest paths|trees,1,1,1,1.0,2,2,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0143_p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero.cpp,human,soln1,00000,p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,0,,1,1,1,,0,0,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0059_p02879_AtCoder_Beginner_Contest_144_-_9x9.cpp,human,soln1,00000,p02879_AtCoder_Beginner_Contest_144_-_9x9,0,,1,1,1,,0,0,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0049_820_D._Mister_B_and_PR_Shifts.cpp,human,soln1,00000,820_D_Mister_B_and_PR_Shifts,0,data structures|implementation|math,1,1,1,1.0,44,44,0,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0087_1088_D._Ehab_and_another_another_xor_problem.cpp,human,soln1,00000,1088_D_Ehab_and_another_another_xor_problem,0,bitmasks|constructive algorithms|implementation|interactive,1,1,1,0.9571428571428572,67,70,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0105_1547_C._Pair_Programming.cpp,human,soln1,00000,1547_C_Pair_Programming,0,greedy|two pointers,1,1,1,0.0,0,1,0,1,1,5,1,1,398,0,0,5,0,0
human/soln1/00000/0080_p01974_Pigeonhole_principle.cpp,human,soln1,00000,p01974_Pigeonhole_principle,0,,1,1,1,,0,0,0,1,1,3,1,1,398,0,0,0,3,0
human/soln1/00000/0154_p00365_Age_Difference.cpp,human,soln1,00000,p00365_Age_Difference,0,,1,1,1,,0,0,0,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0104_151_C._Win_or_Freeze.cpp,human,soln1,00000,151_C_Win_or_Freeze,0,games|math|number theory,1,1,1,0.78,39,50,0,1,1,0,0,0,,0,0,0,0,0
