sample_id,model,generation,batch,problem_key,verdict,n_violations,cwes,parse_error,timeout
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,00000,331_E2_Deja_Vu,PARSE_ERROR,0,,True,False
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,00000,39_H_Multiplication_Table,PARSE_ERROR,0,,True,False
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,00000,937_D_Sleepy_Game,PARSE_ERROR,0,,True,False
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,00000,1208_A_XORinacci,PARSE_ERROR,0,,True,False
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,00000,551_B_ZgukistringZ,PARSE_ERROR,0,,True,False
human/soln1/00000/0267_1304_E._1-Trees_and_Queries.cpp,human,soln1,00000,1304_E_1-Trees_and_Queries,PARSE_ERROR,0,,True,False
human/soln1/00000/0143_p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero.cpp,human,soln1,00000,p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,PARSE_ERROR,0,,True,False
human/soln1/00000/0059_p02879_AtCoder_Beginner_Contest_144_-_9x9.cpp,human,soln1,00000,p02879_AtCoder_Beginner_Contest_144_-_9x9,SUCCESS,0,,False,False
human/soln1/00000/0132_784_B._Kids__Riddle.cpp,human,soln1,00000,784_B_Kids__Riddle,PARSE_ERROR,0,,True,False
human/soln1/00000/0049_820_D._Mister_B_and_PR_Shifts.cpp,human,soln1,00000,820_D_Mister_B_and_PR_Shifts,PARSE_ERROR,0,,True,False
human/soln1/00000/0087_1088_D._Ehab_and_another_another_xor_problem.cpp,human,soln1,00000,1088_D_Ehab_and_another_another_xor_problem,PARSE_ERROR,0,,True,False
human/soln1/00000/0105_1547_C._Pair_Programming.cpp,human,soln1,00000,1547_C_Pair_Programming,TIMEOUT,0,,False,True
human/soln1/00000/0080_p01974_Pigeonhole_principle.cpp,human,soln1,00000,p01974_Pigeonhole_principle,PARSE_ERROR,0,,True,False
human/soln1/00000/0154_p00365_Age_Difference.cpp,human,soln1,00000,p00365_Age_Difference,PARSE_ERROR,0,,True,False
human/soln1/00000/0104_151_C._Win_or_Freeze.cpp,human,soln1,00000,151_C_Win_or_Freeze,PARSE_ERROR,0,,True,False
human/soln1/00000/0078_p01694_Step_Aerobics.cpp,human,soln1,00000,p01694_Step_Aerobics,PARSE_ERROR,0,,True,False
human/soln1/00000/0239_p00490_Best_Pizza.cpp,human,soln1,00000,p00490_Best_Pizza,SUCCESS,0,,False,False
human/soln1/00000/0037_545_C._Woodcutters.cpp,human,soln1,00000,545_C_Woodcutters,PARSE_ERROR,0,,True,False
human/soln1/00000/0040_615_A._Bulbs.cpp,human,soln1,00000,615_A_Bulbs,PARSE_ERROR,0,,True,False
human/soln1/00000/0044_70_C._Lucky_Tickets.cpp,human,soln1,00000,70_C_Lucky_Tickets,PARSE_ERROR,0,,True,False
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_.cpp,human,soln1,00000,1184_B3_The_Doctor_Meets_Vader__Hard_,PARSE_ERROR,0,,True,False
human/soln1/00000/0064_p03616_AtCoder_Regular_Contest_082_-_Sandglass.cpp,human,soln1,00000,p03616_AtCoder_Regular_Contest_082_-_Sandglass,PARSE_ERROR,0,,True,False
human/soln1/00000/0230_p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String.cpp,human,soln1,00000,p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String,SUCCESS,0,,False,False
human/soln1/00000/0063_p03455_AtCoder_Beginner_Contest_086_-_Product.cpp,human,soln1,00000,p03455_AtCoder_Beginner_Contest_086_-_Product,PARSE_ERROR,0,,True,False
human/soln1/00000/0116_405_E._Graph_Cutting.cpp,human,soln1,00000,405_E_Graph_Cutting,PARSE_ERROR,0,,True,False
human/soln1/00000/0089_1136_D._Nastya_Is_Buying_Lunch.cpp,human,soln1,00000,1136_D_Nastya_Is_Buying_Lunch,PARSE_ERROR,0,,True,False
human/soln1/00000/0263_1219_H._Function_Composition.cpp,human,soln1,00000,1219_H_Function_Composition,PARSE_ERROR,0,,True,False
human/soln1/00000/0050_846_E._Chemistry_in_Berland.cpp,human,soln1,00000,846_E_Chemistry_in_Berland,PARSE_ERROR,0,,True,False
human/soln1/00000/0256_1075_D._Intersecting_Subtrees.cpp,human,soln1,00000,1075_D_Intersecting_Subtrees,PARSE_ERROR,0,,True,False
human/soln1/00000/0198_331_D2._Escaping_on_Beaveractor.cpp,human,soln1,00000,331_D2_Escaping_on_Beaveractor,PARSE_ERROR,0,,True,False
human/soln1/00000/0004_1101_A._Minimum_Integer.cpp,human,soln1,00000,1101_A_Minimum_Integer,PARSE_ERROR,0,,True,False
human/soln1/00000/0034_44_B._Cola.cpp,human,soln1,00000,44_B_Cola,PARSE_ERROR,0,,True,False
human/soln1/00000/0174_1129_A2._Toy_Train.cpp,human,soln1,00000,1129_A2_Toy_Train,PARSE_ERROR,0,,True,False
