sample_id,model,generation,problem_key,violation_idx,violation_text,cwes
human/soln1/00000/0059_p02879_AtCoder_Beginner_Contest_144_-_9x9.cpp,human,soln1,p02879_AtCoder_Beginner_Contest_144_-_9x9,0,file derived/cpp/human/soln1/00000/0059_p02879_AtCoder_Beginner_Contest_144_-_9x9.cpp line 7 column 5 function main,CWE-190
human/soln1/00000/0244_p01219_Private_Teacher.cpp,human,soln1,p01219_Private_Teacher,0,file derived/cpp/human/soln1/00000/0244_p01219_Private_Teacher.cpp line 97 column 11 function main,CWE-120|CWE-190
human/soln1/00000/0152_p00074_Videotape.cpp,human,soln1,p00074_Videotape,0,file derived/cpp/human/soln1/00000/0152_p00074_Videotape.cpp line 27 column 3 function main,CWE-120|CWE-190
human/soln1/00000/0068_p00167_Bubble_Sort.cpp,human,soln1,p00167_Bubble_Sort,0,file derived/cpp/human/soln1/00000/0068_p00167_Bubble_Sort.cpp line 5 column 2 function main,CWE-120|CWE-190
human/soln1/00000/0146_p03194_CADDi_2018_for_Beginners_-_Product_and_GCD.cpp,human,soln1,p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,0,file derived/cpp/human/soln1/00000/0146_p03194_CADDi_2018_for_Beginners_-_Product_and_GCD.cpp line 10 column 5 function main,CWE-190
human/soln1/00000/0236_p00032_Plastic_Board.cpp,human,soln1,p00032_Plastic_Board,0,file derived/cpp/human/soln1/00000/0236_p00032_Plastic_Board.cpp line 14 column 3 function main,CWE-190
human/soln1/00000/0067_p00035_Is_it_Convex_.cpp,human,soln1,p00035_Is_it_Convex_,0,file derived/cpp/human/soln1/00000/0067_p00035_Is_it_Convex_.cpp line 52 column 6 function main,CWE-120|CWE-190
human/soln1/00000/0153_p00206_Next_Trip.cpp,human,soln1,p00206_Next_Trip,0,file derived/cpp/human/soln1/00000/0153_p00206_Next_Trip.cpp line 12 column 7 function main,CWE-190
human/soln1/00000/0066_p03943_AtCoder_Beginner_Contest_047_-_Fighting_over_Candies.cpp,human,soln1,p03943_AtCoder_Beginner_Contest_047_-_Fighting_over_Candies,0,file derived/cpp/human/soln1/00000/0066_p03943_AtCoder_Beginner_Contest_047_-_Fighting_over_Candies.cpp line 9 column 1 function main,CWE-190
human/soln1/00000/0227_p02741_Panasonic_Programming_Contest_2020_-_Kth_Term.cpp,human,soln1,p02741_Panasonic_Programming_Contest_2020_-_Kth_Term,0,file derived/cpp/human/soln1/00000/0227_p02741_Panasonic_Programming_Contest_2020_-_Kth_Term.cpp line 9 column 3 function main,CWE-119
human/soln1/00000/0083_p02408_Finding_Missing_Cards.cpp,human,soln1,p02408_Finding_Missing_Cards,0,file derived/cpp/human/soln1/00000/0083_p02408_Finding_Missing_Cards.cpp line 11 column 5 function main,CWE-120|CWE-190
human/soln1/00002/0277_p03212_AtCoder_Beginner_Contest_114_-_755.cpp,human,soln1,p03212_AtCoder_Beginner_Contest_114_-_755,0,file derived/cpp/human/soln1/00002/0277_p03212_AtCoder_Beginner_Contest_114_-_755.cpp line 14 column 2 function main,CWE-120|CWE-190
human/soln1/00002/0146_1523_D._Love-Hate.cpp,human,soln1,1523_D_Love-Hate,0,file derived/cpp/human/soln1/00002/0146_1523_D._Love-Hate.cpp line 39 column 2 function main,CWE-120|CWE-190
human/soln1/00002/0019_p00184_Tsuruga_Castle.cpp,human,soln1,p00184_Tsuruga_Castle,0,file derived/cpp/human/soln1/00002/0019_p00184_Tsuruga_Castle.cpp line 5 column 11 function main,CWE-120|CWE-190
human/soln1/00002/0113_p01183_Tetrahedra.cpp,human,soln1,p01183_Tetrahedra,0,file derived/cpp/human/soln1/00002/0113_p01183_Tetrahedra.cpp line 31 column 12 function main,CWE-120|CWE-190
human/soln1/00002/0017_p03963_AtCoder_Beginner_Contest_046_-_Painting_Balls_with_AtCoDeer.cpp,human,soln1,p03963_AtCoder_Beginner_Contest_046_-_Painting_Balls_with_AtCoDeer,0,file derived/cpp/human/soln1/00002/0017_p03963_AtCoder_Beginner_Contest_046_-_Painting_Balls_with_AtCoDeer.cpp line 10 column 3 function main,CWE-190
human/soln1/00002/0104_p03893_CODE_FESTIVAL_2016_Relay__Parallel__-_Trichotomy.cpp,human,soln1,p03893_CODE_FESTIVAL_2016_Relay__Parallel__-_Trichotomy,0,file derived/cpp/human/soln1/00002/0104_p03893_CODE_FESTIVAL_2016_Relay__Parallel__-_Trichotomy.cpp line 9 column 5 function main,CWE-120|CWE-190
human/soln1/00002/0027_p01402_Anipero.cpp,human,soln1,p01402_Anipero,0,file derived/cpp/human/soln1/00002/0027_p01402_Anipero.cpp line 13 column 2 function main,CWE-120|CWE-190
human/soln1/00001/0060_p01931_Check_answers.cpp,human,soln1,p01931_Check_answers,0,file /tmp/esbmc-cpp-headers-c064-e508-0336/string line 1437 column 3 function operator[],
human/soln1/00001/0043_p03407_AtCoder_Beginner_Contest_091_-_Two_Coins.cpp,human,soln1,p03407_AtCoder_Beginner_Contest_091_-_Two_Coins,0,file derived/cpp/human/soln1/00001/0043_p03407_AtCoder_Beginner_Contest_091_-_Two_Coins.cpp line 2 column 40 function main,CWE-190
human/soln1/00001/0152_p02472_Addition_of_Big_Integers.cpp,human,soln1,p02472_Addition_of_Big_Integers,0,file derived/cpp/human/soln1/00001/0152_p02472_Addition_of_Big_Integers.cpp line 206 column 5 function main,CWE-120|CWE-190
human/soln1/00001/0131_p03371_AtCoder_Beginner_Contest_095_-_Half_and_Half.cpp,human,soln1,p03371_AtCoder_Beginner_Contest_095_-_Half_and_Half,0,file derived/cpp/human/soln1/00001/0131_p03371_AtCoder_Beginner_Contest_095_-_Half_and_Half.cpp line 8 column 3 function main,CWE-190
human/soln1/00001/0128_p02943_AtCoder_Grand_Contest_037_-_Reversing_and_Concatenating.cpp,human,soln1,p02943_AtCoder_Grand_Contest_037_-_Reversing_and_Concatenating,0,file derived/cpp/human/soln1/00001/0128_p02943_AtCoder_Grand_Contest_037_-_Reversing_and_Concatenating.cpp line 24 column 2 function main,CWE-120|CWE-190
human/soln1/00001/0129_p03080_ExaWizards_2019_-_Red_or_Blue.cpp,human,soln1,p03080_ExaWizards_2019_-_Red_or_Blue,0,file derived/cpp/human/soln1/00001/0129_p03080_ExaWizards_2019_-_Red_or_Blue.cpp line 7 column 8 function main,CWE-190
human/soln1/00001/0144_p01289_Strange_Couple.cpp,human,soln1,p01289_Strange_Couple,0,file derived/cpp/human/soln1/00001/0144_p01289_Strange_Couple.cpp line 103 column 3 function main,CWE-120|CWE-190
human/soln1/00001/0262_1515_I._Phoenix_and_Diamonds.cpp,human,soln1,1515_I_Phoenix_and_Diamonds,0,file derived/cpp/human/soln1/00001/0262_1515_I._Phoenix_and_Diamonds.cpp line 72 column 2 function main,CWE-120|CWE-190
human/soln1/00001/0125_p02548_AtCoder_Beginner_Contest_179_-_A_x_B___C.cpp,human,soln1,p02548_AtCoder_Beginner_Contest_179_-_A_x_B___C,0,file derived/cpp/human/soln1/00001/0125_p02548_AtCoder_Beginner_Contest_179_-_A_x_B___C.cpp line 7 column 3 function main,CWE-190
human/soln1/00001/0146_p01609_One.cpp,human,soln1,p01609_One,0,file derived/cpp/human/soln1/00001/0146_p01609_One.cpp line 120 column 3 function main,CWE-120|CWE-190
human/soln1/00001/0238_p02398_How_Many_Divisors_.cpp,human,soln1,p02398_How_Many_Divisors_,0,file derived/cpp/human/soln1/00001/0238_p02398_How_Many_Divisors_.cpp line 4 column 2 function main,CWE-120|CWE-190
human/soln1/00001/0226_p00669_K_Cards.cpp,human,soln1,p00669_K_Cards,0,file derived/cpp/human/soln1/00001/0226_p00669_K_Cards.cpp line 75 column 3 function main,CWE-120|CWE-190
human/soln2/00000/0105_1547_C._Pair_Programming.cpp,human,soln2,1547_C_Pair_Programming,0,file derived/cpp/human/soln2/00000/0105_1547_C._Pair_Programming.cpp line 10 column 9 function main,CWE-190
human/soln2/00000/0230_p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String.cpp,human,soln2,p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String,0,file /tmp/esbmc-cpp-headers-491e-f206-b175/string line 999 column 5 function substr,
human/soln2/00000/0164_p01878_Destiny_Draw.cpp,human,soln2,p01878_Destiny_Draw,0,file derived/cpp/human/soln2/00000/0164_p01878_Destiny_Draw.cpp line 59 column 5 function main,CWE-120|CWE-190
human/soln2/00000/0158_p00991_Grid.cpp,human,soln2,p00991_Grid,0,file derived/cpp/human/soln2/00000/0158_p00991_Grid.cpp line 64 column 10 function main,CWE-120|CWE-190
human/soln2/00000/0234_p03771_AtCoder_Grand_Contest_012_-_Camel_and_Oases.cpp,human,soln2,p03771_AtCoder_Grand_Contest_012_-_Camel_and_Oases,0,file derived/cpp/human/soln2/00000/0234_p03771_AtCoder_Grand_Contest_012_-_Camel_and_Oases.cpp line 10 column 2 function main,CWE-120|CWE-190
