sample_id,model,generation,batch,problem_key,analyzed,parsed_ok,total_errors,has_cwe,num_cwe_types,cwe_list,error_count,warning_count,style_count,performance_count,portability_count
human/soln1/00000/0146_p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,human,soln1,00000,p03194 caddi 2018 for beginners product and gcd,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0092_1195_D2._Submarine_in_the_Rybinsk_Sea__hard_edition_,human,soln1,00000,1195 d2 submarine in the rybinsk sea hard edition,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0258_1117_F._Crisp_String,human,soln1,00000,1117 f crisp string,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0110_268_A._Games,human,soln1,00000,268 a games,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0266_1285_C._Fadi_and_LCM,human,soln1,00000,1285 c fadi and lcm,1,1,6,1,2,398|563,0,0,6,0,0
human/soln1/00000/0028_309_B._Context_Advertising,human,soln1,00000,309 b context advertising,1,1,2,1,1,477,0,2,0,0,0
human/soln1/00000/0158_p00991_Grid,human,soln1,00000,p00991 grid,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0264_1244_C._The_Football_Season,human,soln1,00000,1244 c the football season,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0060_p03013_AtCoder_Beginner_Contest_129_-_Typical_Stairs,human,soln1,00000,p03013 atcoder beginner contest 129 typical stairs,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0139_949_C._Data_Center_Maintenance,human,soln1,00000,949 c data center maintenance,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0046_754_E._Dasha_and_cyclic_table,human,soln1,00000,754 e dasha and cyclic table,1,1,2,1,1,119,0,2,0,0,0
human/soln1/00000/0038_571_E._Geometric_Progressions,human,soln1,00000,571 e geometric progressions,1,1,5,1,2,398|563,0,0,5,0,0
human/soln1/00000/0172_1081_D._Maximum_Distance,human,soln1,00000,1081 d maximum distance,1,1,3,1,2,398|563,0,0,3,0,0
human/soln1/00000/0043_687_D._Dividing_Kingdom_II,human,soln1,00000,687 d dividing kingdom ii,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0144_p02916_AtCoder_Beginner_Contest_140_-_Buffet,human,soln1,00000,p02916 atcoder beginner contest 140 buffet,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0265_1264_A._Beautiful_Regional_Contest,human,soln1,00000,1264 a beautiful regional contest,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0061_p03153_KEYENCE_Programming_Contest_2019_-_Connecting_Cities,human,soln1,00000,p03153 keyence programming contest 2019 connecting cities,1,1,1,1,1,457,0,1,0,0,0
human/soln1/00000/0183_1334_A._Level_Statistics,human,soln1,00000,1334 a level statistics,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0196_283_D._Cows_and_Cool_Sequences,human,soln1,00000,283 d cows and cool sequences,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0150_p03819_AtCoder_Regular_Contest_068_-_Snuke_Line,human,soln1,00000,p03819 atcoder regular contest 068 snuke line,1,1,1,1,1,788,0,1,0,0,0
human/soln1/00000/0101_1446_D2._Frequency_Problem__Hard_Version_,human,soln1,00000,1446 d2 frequency problem hard version,1,1,1,1,1,398,1,0,0,0,0
human/soln1/00000/0108_219_A._k-String,human,soln1,00000,219 a k string,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0163_p01738_Gravity_Point,human,soln1,00000,p01738 gravity point,1,1,3,1,2,119|398,0,1,0,2,0
human/soln1/00000/0273_1455_F._String_and_Operations,human,soln1,00000,1455 f string and operations,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0053_915_A._Garden,human,soln1,00000,915 a garden,1,1,2,1,1,457,1,1,0,0,0
human/soln1/00000/0140_977_B._Two-gram,human,soln1,00000,977 b two gram,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0026_260_B._Ancient_Prophesy,human,soln1,00000,260 b ancient prophesy,1,1,1,1,1,477,0,1,0,0,0
human/soln1/00000/0107_195_A._Let_s_Watch_Football,human,soln1,00000,195 a let s watch football,1,1,2,1,1,563,0,0,2,0,0
human/soln1/00000/0227_p02741_Panasonic_Programming_Contest_2020_-_Kth_Term,human,soln1,00000,p02741 panasonic programming contest 2020 kth term,1,1,1,1,1,398,0,0,1,0,0
