sample_id,model,generation,problem_key,violation_idx,violation_text,cwes
human/soln1/00000/0227_p02741_Panasonic_Programming_Contest_2020_-_Kth_Term.cpp,human,soln1,p02741_Panasonic_Programming_Contest_2020_-_Kth_Term,0,file derived/cpp/human/soln1/00000/0227_p02741_Panasonic_Programming_Contest_2020_-_Kth_Term.cpp line 9 column 3 function main,CWE-119
human/soln1/00000/0083_p02408_Finding_Missing_Cards.cpp,human,soln1,p02408_Finding_Missing_Cards,0,file derived/cpp/human/soln1/00000/0083_p02408_Finding_Missing_Cards.cpp line 19 column 9 function main,CWE-119
human/soln1/00002/0104_p03893_CODE_FESTIVAL_2016_Relay__Parallel__-_Trichotomy.cpp,human,soln1,p03893_CODE_FESTIVAL_2016_Relay__Parallel__-_Trichotomy,0,file derived/cpp/human/soln1/00002/0104_p03893_CODE_FESTIVAL_2016_Relay__Parallel__-_Trichotomy.cpp line 12 column 5 function main,CWE-119
human/soln1/00001/0060_p01931_Check_answers.cpp,human,soln1,p01931_Check_answers,0,file /tmp/esbmc-cpp-headers-994a-045d-7ddf/string line 1437 column 3 function operator[],
human/soln2/00000/0237_p00163_Highway_Toll.cpp,human,soln2,p00163_Highway_Toll,0,file derived/cpp/human/soln2/00000/0237_p00163_Highway_Toll.cpp line 85 column 5 function main,CWE-119
human/soln2/00000/0061_p03153_KEYENCE_Programming_Contest_2019_-_Connecting_Cities.cpp,human,soln2,p03153_KEYENCE_Programming_Contest_2019_-_Connecting_Cities,0,file derived/cpp/human/soln2/00000/0061_p03153_KEYENCE_Programming_Contest_2019_-_Connecting_Cities.cpp line 44 column 2 function main,CWE-119
human/soln2/00000/0083_p02408_Finding_Missing_Cards.cpp,human,soln2,p02408_Finding_Missing_Cards,0,file derived/cpp/human/soln2/00000/0083_p02408_Finding_Missing_Cards.cpp line 19 column 3 function main,CWE-119
human/soln2/00002/0279_p03519_CODE_FESTIVAL_2017_Elimination_Tournament_Round_1__Parallel__-_Paired_Parentheses.cpp,human,soln2,p03519_CODE_FESTIVAL_2017_Elimination_Tournament_Round_1__Parallel__-_Paired_Parentheses,0,file derived/cpp/human/soln2/00002/0279_p03519_CODE_FESTIVAL_2017_Elimination_Tournament_Round_1__Parallel__-_Paired_Parentheses.cpp line 76 column 2 function main,CWE-119
human/soln2/00002/0008_p02630_AtCoder_Beginner_Contest_171_-_Replacing.cpp,human,soln2,p02630_AtCoder_Beginner_Contest_171_-_Replacing,0,file derived/cpp/human/soln2/00002/0008_p02630_AtCoder_Beginner_Contest_171_-_Replacing.cpp line 14 column 5 function main,CWE-119
human/soln2/00002/0103_p03729_AtCoder_Beginner_Contest_060_-_Shiritori.cpp,human,soln2,p03729_AtCoder_Beginner_Contest_060_-_Shiritori,0,file /tmp/esbmc-cpp-headers-94c0-eb4b-148f/string line 1437 column 3 function operator[],
